emoji,emoji_name,love_score
👰🏼‍♀,woman with veil: medium-light skin tone,54.94
👰🏽‍♀️,woman with veil: medium skin tone,30.02
👰🏽‍♀,woman with veil: medium skin tone,30.02
👰🏾‍♀️,woman with veil: medium-dark skin tone,30.02
👰🏾‍♀,woman with veil: medium-dark skin tone,30.02
👰🏿‍♀️,woman with veil: dark skin tone,60.26
👰🏿‍♀,woman with veil: dark skin tone,60.26
🤰,pregnant woman,14.61
🤰🏻,pregnant woman: light skin tone,41.3
🤰🏼,pregnant woman: medium-light skin tone,47.23
🤰🏽,pregnant woman: medium skin tone,14.61
🤰🏾,pregnant woman: medium-dark skin tone,14.61
🤰🏿,pregnant woman: dark skin tone,14.61
🫃,pregnant man,14.61
🫃🏻,pregnant man: light skin tone,41.3
🫃🏼,pregnant man: medium-light skin tone,47.23
🫃🏽,pregnant man: medium skin tone,22.02
🫃🏾,pregnant man: medium-dark skin tone,52.55
🫃🏿,pregnant man: dark skin tone,22.02
🫄,pregnant person,14.61
🫄🏻,pregnant person: light skin tone,47.23
🫄🏼,pregnant person: medium-light skin tone,14.61
🫄🏽,pregnant person: medium skin tone,14.61
🫄🏾,pregnant person: medium-dark skin tone,14.61
🫄🏿,pregnant person: dark skin tone,52.55
🤱🏻,breast-feeding: light skin tone,48.73
🤱🏼,breast-feeding: medium-light skin tone,48.73
🤱🏽,breast-feeding: medium skin tone,17.62
🤱🏾,breast-feeding: medium-dark skin tone,17.62
🤱🏿,breast-feeding: dark skin tone,54.06
👩‍🍼,woman feeding baby,17.62
👩🏻‍🍼,woman feeding baby: light skin tone,48.73
👩🏼‍🍼,woman feeding baby: medium-light skin tone,48.1
👩🏽‍🍼,woman feeding baby: medium skin tone,17.62
👩🏾‍🍼,woman feeding baby: medium-dark skin tone,17.62
👩🏿‍🍼,woman feeding baby: dark skin tone,17.62
👨‍🍼,man feeding baby,17.62
👨🏻‍🍼,man feeding baby: light skin tone,48.73
👨🏼‍🍼,man feeding baby: medium-light skin tone,48.1
👨🏽‍🍼,man feeding baby: medium skin tone,32.23
👨🏾‍🍼,man feeding baby: medium-dark skin tone,32.23
👨🏿‍🍼,man feeding baby: dark skin tone,17.62
🧑‍🍼,person feeding baby,17.62
🧑🏻‍🍼,person feeding baby: light skin tone,48.73
🧑🏼‍🍼,person feeding baby: medium-light skin tone,48.73
🧑🏽‍🍼,person feeding baby: medium skin tone,17.62
🧑🏾‍🍼,person feeding baby: medium-dark skin tone,17.62
🧑🏿‍🍼,person feeding baby: dark skin tone,17.62
👼🏻,baby angel: light skin tone,79.85
👼🏼,baby angel: medium-light skin tone,67.29
👼🏽,baby angel: medium skin tone,54.73
👼🏾,baby angel: medium-dark skin tone,54.73
👼🏿,baby angel: dark skin tone,72.61
🎅🏻,Santa Claus: light skin tone,79.85
🤶🏻,Mrs. Claus: light skin tone,79.85
🧑🏻‍🎄,mx claus: light skin tone,79.85
🧑🏼‍🎄,mx claus: medium-light skin tone,79.85
🦸🏻,superhero: light skin tone,79.85
🦸🏼,superhero: medium-light skin tone,79.85
🦸🏻‍♂️,man superhero: light skin tone,79.85
🦸🏻‍♂,man superhero: light skin tone,79.85
🦸🏼‍♂️,man superhero: medium-light skin tone,79.85
🦸🏼‍♂,man superhero: medium-light skin tone,79.85
🦸🏾‍♂️,man superhero: medium-dark skin tone,34.3
🦸🏾‍♂,man superhero: medium-dark skin tone,34.3
🦸🏿‍♂️,man superhero: dark skin tone,90.5
🦸🏿‍♂,man superhero: dark skin tone,90.5
🦸🏻‍♀️,woman superhero: light skin tone,79.85
🦸🏻‍♀,woman superhero: light skin tone,79.85
🦸🏼‍♀️,woman superhero: medium-light skin tone,41.11
🦸🏼‍♀,woman superhero: medium-light skin tone,41.11
🦸🏾‍♀️,woman superhero: medium-dark skin tone,2.36
🦸🏾‍♀,woman superhero: medium-dark skin tone,2.36
🦹🏻,supervillain: light skin tone,79.85
🦹🏼,supervillain: medium-light skin tone,79.85
🦹🏿,supervillain: dark skin tone,90.5
🦹🏻‍♂️,man supervillain: light skin tone,79.85
🦹🏻‍♂,man supervillain: light skin tone,79.85
🦹🏼‍♂️,man supervillain: medium-light skin tone,79.85
🦹🏼‍♂,man supervillain: medium-light skin tone,79.85
🦹🏾‍♂️,man supervillain: medium-dark skin tone,3.02
🦹🏾‍♂,man supervillain: medium-dark skin tone,3.02
🦹🏿‍♂️,man supervillain: dark skin tone,90.5
🦹🏿‍♂,man supervillain: dark skin tone,90.5
🦹🏻‍♀️,woman supervillain: light skin tone,79.85
🦹🏻‍♀,woman supervillain: light skin tone,79.85
🦹🏼‍♀️,woman supervillain: medium-light skin tone,41.43
🦹🏼‍♀,woman supervillain: medium-light skin tone,41.43
🦹🏽‍♀️,woman supervillain: medium skin tone,3.02
🦹🏽‍♀,woman supervillain: medium skin tone,3.02
🦹🏾‍♀️,woman supervillain: medium-dark skin tone,3.02
🦹🏾‍♀,woman supervillain: medium-dark skin tone,3.02
🦹🏿‍♀️,woman supervillain: dark skin tone,90.5
🦹🏿‍♀,woman supervillain: dark skin tone,90.5
🧙🏻,mage: light skin tone,79.85
🧙🏼,mage: medium-light skin tone,79.85
🧙🏻‍♂️,man mage: light skin tone,79.85
🧙🏻‍♂,man mage: light skin tone,79.85
🧙🏼‍♂️,man mage: medium-light skin tone,79.85
🧙🏼‍♂,man mage: medium-light skin tone,79.85
🧙🏿‍♂️,man mage: dark skin tone,90.5
🧙🏿‍♂,man mage: dark skin tone,90.5
🧙🏻‍♀️,woman mage: light skin tone,79.85
🧙🏻‍♀,woman mage: light skin tone,79.85
🧙🏼‍♀️,woman mage: medium-light skin tone,79.85
🧙🏼‍♀,woman mage: medium-light skin tone,79.85
🧙🏿‍♀️,woman mage: dark skin tone,90.5
🧙🏿‍♀,woman mage: dark skin tone,90.5
🧚🏼,fairy: medium-light skin tone,79.02
🧚🏾,fairy: medium-dark skin tone,78.18
🧚🏻‍♂️,man fairy: light skin tone,79.85
🧚🏻‍♂,man fairy: light skin tone,79.85
🧚🏼‍♂️,man fairy: medium-light skin tone,79.85
🧚🏼‍♂,man fairy: medium-light skin tone,79.85
🧚🏾‍♂️,man fairy: medium-dark skin tone,78.18
🧚🏾‍♂,man fairy: medium-dark skin tone,78.18
🧚🏿‍♂️,man fairy: dark skin tone,90.5
🧚🏿‍♂,man fairy: dark skin tone,90.5
🧚🏻‍♀️,woman fairy: light skin tone,79.85
🧚🏻‍♀,woman fairy: light skin tone,79.85
🧚🏼‍♀️,woman fairy: medium-light skin tone,79.85
🧚🏼‍♀,woman fairy: medium-light skin tone,79.85
🧚🏾‍♀️,woman fairy: medium-dark skin tone,78.18
🧚🏾‍♀,woman fairy: medium-dark skin tone,78.18
🧛🏼,vampire: medium-light skin tone,79.85
🧛🏻‍♂️,man vampire: light skin tone,79.85
🧛🏻‍♂,man vampire: light skin tone,79.85
🧛🏼‍♂️,man vampire: medium-light skin tone,79.85
🧛🏼‍♂,man vampire: medium-light skin tone,79.85
🧛🏿‍♂️,man vampire: dark skin tone,90.5
🧛🏿‍♂,man vampire: dark skin tone,90.5
🧛🏻‍♀️,woman vampire: light skin tone,79.85
🧛🏻‍♀,woman vampire: light skin tone,79.85
🧛🏼‍♀️,woman vampire: medium-light skin tone,79.85
🧛🏼‍♀,woman vampire: medium-light skin tone,79.85
🧜🏻,merperson: light skin tone,79.85
🧜🏼,merperson: medium-light skin tone,79.85
🧜🏻‍♂️,merman: light skin tone,54.64
🧜🏻‍♂,merman: light skin tone,54.64
🧜🏼‍♂️,merman: medium-light skin tone,77.62
🧜🏼‍♂,merman: medium-light skin tone,77.62
🧜🏽‍♂️,merman: medium skin tone,75.39
🧜🏽‍♂,merman: medium skin tone,75.39
🧜🏾‍♂️,merman: medium-dark skin tone,75.39
🧜🏾‍♂,merman: medium-dark skin tone,75.39
🧜🏼‍♀️,mermaid: medium-light skin tone,58.6
🧜🏼‍♀,mermaid: medium-light skin tone,58.6
🧜🏾‍♀️,mermaid: medium-dark skin tone,37.34
🧜🏾‍♀,mermaid: medium-dark skin tone,37.34
🧝🏻,elf: light skin tone,79.85
🧝🏼,elf: medium-light skin tone,43.99
🧝🏽,elf: medium skin tone,29.43
🧝🏻‍♂️,man elf: light skin tone,79.85
🧝🏻‍♂,man elf: light skin tone,79.85
🧝🏼‍♂️,man elf: medium-light skin tone,44.94
🧝🏼‍♂,man elf: medium-light skin tone,44.94
🧝🏽‍♂️,man elf: medium skin tone,10.03
🧝🏽‍♂,man elf: medium skin tone,10.03
🧝🏾‍♂️,man elf: medium-dark skin tone,50.26
🧝🏾‍♂,man elf: medium-dark skin tone,50.26
🧝🏿‍♂️,man elf: dark skin tone,90.5
🧝🏿‍♂,man elf: dark skin tone,90.5
🧝🏻‍♀️,woman elf: light skin tone,79.85
🧝🏻‍♀,woman elf: light skin tone,79.85
🧝🏼‍♀️,woman elf: medium-light skin tone,79.85
🧝🏼‍♀,woman elf: medium-light skin tone,79.85
🧝🏽‍♀️,woman elf: medium skin tone,10.03
🧝🏽‍♀,woman elf: medium skin tone,10.03
🧝🏾‍♀️,woman elf: medium-dark skin tone,50.26
🧝🏾‍♀,woman elf: medium-dark skin tone,50.26
🧝🏿‍♀️,woman elf: dark skin tone,90.5
🧝🏿‍♀,woman elf: dark skin tone,90.5
💆,person getting massage,93.74
💆🏻,person getting massage: light skin tone,86.8
💆🏼,person getting massage: medium-light skin tone,86.8
💆🏽,person getting massage: medium skin tone,93.74
💆🏾,person getting massage: medium-dark skin tone,93.74
💆🏿,person getting massage: dark skin tone,92.12
💆‍♂️,man getting massage,93.74
💆‍♂,man getting massage,93.74
💆🏻‍♂️,man getting massage: light skin tone,86.8
💆🏻‍♂,man getting massage: light skin tone,86.8
💆🏼‍♂️,man getting massage: medium-light skin tone,59.76
💆🏼‍♂,man getting massage: medium-light skin tone,59.76
💆🏽‍♂️,man getting massage: medium skin tone,49.72
💆🏽‍♂,man getting massage: medium skin tone,49.72
💆🏾‍♂️,man getting massage: medium-dark skin tone,49.72
💆🏾‍♂,man getting massage: medium-dark skin tone,49.72
💆🏿‍♂️,man getting massage: dark skin tone,92.12
💆🏿‍♂,man getting massage: dark skin tone,92.12
💆‍♀️,woman getting massage,93.74
💆‍♀,woman getting massage,93.74
💆🏻‍♀️,woman getting massage: light skin tone,86.8
💆🏻‍♀,woman getting massage: light skin tone,86.8
💆🏼‍♀️,woman getting massage: medium-light skin tone,59.76
💆🏼‍♀,woman getting massage: medium-light skin tone,59.76
💆🏽‍♀️,woman getting massage: medium skin tone,93.74
💆🏽‍♀,woman getting massage: medium skin tone,93.74
💆🏾‍♀️,woman getting massage: medium-dark skin tone,93.74
💆🏾‍♀,woman getting massage: medium-dark skin tone,93.74
💆🏿‍♀️,woman getting massage: dark skin tone,92.12
💆🏿‍♀,woman getting massage: dark skin tone,92.12
💇,person getting haircut,93.74
💇🏻,person getting haircut: light skin tone,63.6
💇🏼,person getting haircut: medium-light skin tone,63.6
💇🏽,person getting haircut: medium skin tone,55.47
💇🏾,person getting haircut: medium-dark skin tone,55.47
💇🏿,person getting haircut: dark skin tone,67.15
💇‍♂️,man getting haircut,93.74
💇‍♂,man getting haircut,93.74
💇🏻‍♂️,man getting haircut: light skin tone,63.6
💇🏻‍♂,man getting haircut: light skin tone,63.6
💇🏼‍♂️,man getting haircut: medium-light skin tone,63.6
💇🏼‍♂,man getting haircut: medium-light skin tone,63.6
💇🏽‍♂️,man getting haircut: medium skin tone,55.47
💇🏽‍♂,man getting haircut: medium skin tone,55.47
💇🏾‍♂️,man getting haircut: medium-dark skin tone,55.47
💇🏾‍♂,man getting haircut: medium-dark skin tone,55.47
💇🏿‍♂️,man getting haircut: dark skin tone,67.15
💇🏿‍♂,man getting haircut: dark skin tone,67.15
💇‍♀️,woman getting haircut,93.74
💇‍♀,woman getting haircut,93.74
💇🏻‍♀️,woman getting haircut: light skin tone,63.6
💇🏻‍♀,woman getting haircut: light skin tone,63.6
💇🏼‍♀️,woman getting haircut: medium-light skin tone,63.6
💇🏼‍♀,woman getting haircut: medium-light skin tone,63.6
💇🏽‍♀️,woman getting haircut: medium skin tone,55.47
💇🏽‍♀,woman getting haircut: medium skin tone,55.47
💇🏾‍♀️,woman getting haircut: medium-dark skin tone,55.47
💇🏾‍♀,woman getting haircut: medium-dark skin tone,55.47
💇🏿‍♀️,woman getting haircut: dark skin tone,67.15
💇🏿‍♀,woman getting haircut: dark skin tone,67.15
🚶,person walking,76.52
🚶🏻,person walking: light skin tone,78.19
🚶🏼,person walking: medium-light skin tone,78.19
🚶🏽,person walking: medium skin tone,76.52
🚶🏾,person walking: medium-dark skin tone,76.52
🚶🏿,person walking: dark skin tone,83.51
🚶‍♂️,man walking,76.52
🚶‍♂,man walking,76.52
🚶🏻‍♂️,man walking: light skin tone,78.19
🚶🏻‍♂,man walking: light skin tone,78.19
🚶🏼‍♂️,man walking: medium-light skin tone,78.19
🚶🏼‍♂,man walking: medium-light skin tone,78.19
🚶🏽‍♂️,man walking: medium skin tone,76.52
🚶🏽‍♂,man walking: medium skin tone,76.52
🚶🏾‍♂️,man walking: medium-dark skin tone,76.52
🚶🏾‍♂,man walking: medium-dark skin tone,76.52
🚶🏿‍♂️,man walking: dark skin tone,83.51
🚶🏿‍♂,man walking: dark skin tone,83.51
🚶‍♀️,woman walking,76.52
🚶‍♀,woman walking,76.52
🚶🏻‍♀️,woman walking: light skin tone,78.19
🚶🏻‍♀,woman walking: light skin tone,78.19
🚶🏼‍♀️,woman walking: medium-light skin tone,78.19
🚶🏼‍♀,woman walking: medium-light skin tone,78.19
🚶🏽‍♀️,woman walking: medium skin tone,76.52
🚶🏽‍♀,woman walking: medium skin tone,76.52
🚶🏾‍♀️,woman walking: medium-dark skin tone,76.52
🚶🏾‍♀,woman walking: medium-dark skin tone,76.52
🚶🏿‍♀️,woman walking: dark skin tone,83.51
🚶🏿‍♀,woman walking: dark skin tone,83.51
🧍,person standing,71.71
🧍🏻,person standing: light skin tone,75.78
🧍🏼,person standing: medium-light skin tone,75.78
🧍🏽,person standing: medium skin tone,71.71
🧍🏾,person standing: medium-dark skin tone,71.71
🧍🏿,person standing: dark skin tone,81.1
🧍‍♂️,man standing,71.71
🧍‍♂,man standing,71.71
🧍🏻‍♂️,man standing: light skin tone,75.78
🧍🏻‍♂,man standing: light skin tone,75.78
🧍🏼‍♂️,man standing: medium-light skin tone,75.78
🧍🏼‍♂,man standing: medium-light skin tone,75.78
🧍🏽‍♂️,man standing: medium skin tone,71.71
🧍🏽‍♂,man standing: medium skin tone,71.71
🧍🏾‍♂️,man standing: medium-dark skin tone,71.71
🧍🏾‍♂,man standing: medium-dark skin tone,71.71
🧍🏿‍♂️,man standing: dark skin tone,81.1
🧍🏿‍♂,man standing: dark skin tone,81.1
🧍‍♀️,woman standing,71.71
🧍‍♀,woman standing,71.71
🧍🏻‍♀️,woman standing: light skin tone,75.78
🧍🏻‍♀,woman standing: light skin tone,75.78
🧍🏼‍♀️,woman standing: medium-light skin tone,75.78
🧍🏼‍♀,woman standing: medium-light skin tone,75.78
🧍🏽‍♀️,woman standing: medium skin tone,71.71
🧍🏽‍♀,woman standing: medium skin tone,71.71
🧍🏾‍♀️,woman standing: medium-dark skin tone,71.71
🧍🏾‍♀,woman standing: medium-dark skin tone,71.71
🧍🏿‍♀️,woman standing: dark skin tone,81.1
🧍🏿‍♀,woman standing: dark skin tone,81.1
🧎,person kneeling,53.47
🧎🏻,person kneeling: light skin tone,66.66
🧎🏼,person kneeling: medium-light skin tone,66.66
🧎🏽,person kneeling: medium skin tone,53.47
🧎🏾,person kneeling: medium-dark skin tone,53.47
🧎🏿,person kneeling: dark skin tone,71.98
🧎‍♂️,man kneeling,53.47
🧎‍♂,man kneeling,53.47
🧎🏻‍♂️,man kneeling: light skin tone,66.66
🧎🏻‍♂,man kneeling: light skin tone,66.66
🧎🏼‍♂️,man kneeling: medium-light skin tone,66.66
🧎🏼‍♂,man kneeling: medium-light skin tone,66.66
🧎🏽‍♂️,man kneeling: medium skin tone,53.47
🧎🏽‍♂,man kneeling: medium skin tone,53.47
🧎🏾‍♂️,man kneeling: medium-dark skin tone,53.47
🧎🏾‍♂,man kneeling: medium-dark skin tone,53.47
🧎🏿‍♂️,man kneeling: dark skin tone,71.98
🧎🏿‍♂,man kneeling: dark skin tone,71.98
🧎‍♀️,woman kneeling,53.47
🧎‍♀,woman kneeling,53.47
🧎🏻‍♀️,woman kneeling: light skin tone,66.66
🧎🏻‍♀,woman kneeling: light skin tone,66.66
🧎🏼‍♀️,woman kneeling: medium-light skin tone,66.66
🧎🏼‍♀,woman kneeling: medium-light skin tone,66.66
🧎🏽‍♀️,woman kneeling: medium skin tone,53.47
🧎🏽‍♀,woman kneeling: medium skin tone,53.47
🧎🏾‍♀️,woman kneeling: medium-dark skin tone,53.47
🧎🏾‍♀,woman kneeling: medium-dark skin tone,53.47
🧎🏿‍♀️,woman kneeling: dark skin tone,71.98
🧎🏿‍♀,woman kneeling: dark skin tone,71.98
🧑‍🦯,person with white cane,47.68
🧑🏻‍🦯,person with white cane: light skin tone,47.68
🧑🏼‍🦯,person with white cane: medium-light skin tone,63.77
🧑🏽‍🦯,person with white cane: medium skin tone,47.68
🧑🏾‍🦯,person with white cane: medium-dark skin tone,47.68
🧑🏿‍🦯,person with white cane: dark skin tone,47.68
👨‍🦯,man with white cane,47.68
👨🏻‍🦯,man with white cane: light skin tone,47.68
👨🏼‍🦯,man with white cane: medium-light skin tone,63.77
👨🏽‍🦯,man with white cane: medium skin tone,47.68
👨🏾‍🦯,man with white cane: medium-dark skin tone,47.68
👨🏿‍🦯,man with white cane: dark skin tone,47.68
👩‍🦯,woman with white cane,47.68
👩🏻‍🦯,woman with white cane: light skin tone,47.68
👩🏼‍🦯,woman with white cane: medium-light skin tone,63.77
👩🏽‍🦯,woman with white cane: medium skin tone,47.68
👩🏾‍🦯,woman with white cane: medium-dark skin tone,47.68
👩🏿‍🦯,woman with white cane: dark skin tone,47.68
🧑‍🦼,person in motorized wheelchair,14.77
🧑🏻‍🦼,person in motorized wheelchair: light skin tone,47.31
🧑🏼‍🦼,person in motorized wheelchair: medium-light skin tone,47.31
🧑🏽‍🦼,person in motorized wheelchair: medium skin tone,14.77
🧑🏾‍🦼,person in motorized wheelchair: medium-dark skin tone,14.77
🧑🏿‍🦼,person in motorized wheelchair: dark skin tone,52.63
👨‍🦼,man in motorized wheelchair,14.77
👨🏻‍🦼,man in motorized wheelchair: light skin tone,47.31
👨🏼‍🦼,man in motorized wheelchair: medium-light skin tone,47.31
👨🏽‍🦼,man in motorized wheelchair: medium skin tone,14.77
👨🏾‍🦼,man in motorized wheelchair: medium-dark skin tone,14.77
👨🏿‍🦼,man in motorized wheelchair: dark skin tone,52.63
👩‍🦼,woman in motorized wheelchair,14.77
👩🏻‍🦼,woman in motorized wheelchair: light skin tone,47.31
👩🏼‍🦼,woman in motorized wheelchair: medium-light skin tone,47.31
👩🏽‍🦼,woman in motorized wheelchair: medium skin tone,14.77
👩🏾‍🦼,woman in motorized wheelchair: medium-dark skin tone,14.77
👩🏿‍🦼,woman in motorized wheelchair: dark skin tone,52.63
🧑‍🦽,person in manual wheelchair,8.19
🧑🏻‍🦽,person in manual wheelchair: light skin tone,44.02
🧑🏼‍🦽,person in manual wheelchair: medium-light skin tone,44.02
🧑🏽‍🦽,person in manual wheelchair: medium skin tone,8.19
🧑🏾‍🦽,person in manual wheelchair: medium-dark skin tone,8.19
🧑🏿‍🦽,person in manual wheelchair: dark skin tone,49.35
👨‍🦽,man in manual wheelchair,8.19
👨🏻‍🦽,man in manual wheelchair: light skin tone,44.02
👨🏼‍🦽,man in manual wheelchair: medium-light skin tone,44.02
👨🏽‍🦽,man in manual wheelchair: medium skin tone,8.19
👨🏾‍🦽,man in manual wheelchair: medium-dark skin tone,8.19
👨🏿‍🦽,man in manual wheelchair: dark skin tone,49.35
👩‍🦽,woman in manual wheelchair,8.19
👩🏻‍🦽,woman in manual wheelchair: light skin tone,44.02
👩🏼‍🦽,woman in manual wheelchair: medium-light skin tone,44.02
👩🏽‍🦽,woman in manual wheelchair: medium skin tone,8.19
👩🏾‍🦽,woman in manual wheelchair: medium-dark skin tone,8.19
👩🏿‍🦽,woman in manual wheelchair: dark skin tone,49.35
🏃,person running,81.8
🏃🏻,person running: light skin tone,80.83
🏃🏼,person running: medium-light skin tone,81.8
🏃🏽,person running: medium skin tone,81.8
🏃🏾,person running: medium-dark skin tone,81.8
🏃🏿,person running: dark skin tone,86.15
🏃‍♂️,man running,81.8
🏃‍♂,man running,81.8
🏃🏻‍♂️,man running: light skin tone,80.83
🏃🏻‍♂,man running: light skin tone,80.83
🏃🏼‍♂️,man running: medium-light skin tone,81.8
🏃🏼‍♂,man running: medium-light skin tone,81.8
🏃🏽‍♂️,man running: medium skin tone,81.8
🏃🏽‍♂,man running: medium skin tone,81.8
🏃🏾‍♂️,man running: medium-dark skin tone,81.8
🏃🏾‍♂,man running: medium-dark skin tone,81.8
🏃🏿‍♂️,man running: dark skin tone,86.15
🏃🏿‍♂,man running: dark skin tone,86.15
🏃‍♀️,woman running,81.8
🏃‍♀,woman running,81.8
🏃🏻‍♀️,woman running: light skin tone,80.83
🏃🏻‍♀,woman running: light skin tone,80.83
🏃🏼‍♀️,woman running: medium-light skin tone,81.8
🏃🏼‍♀,woman running: medium-light skin tone,81.8
🏃🏽‍♀️,woman running: medium skin tone,81.8
🏃🏽‍♀,woman running: medium skin tone,81.8
🏃🏾‍♀️,woman running: medium-dark skin tone,81.8
🏃🏾‍♀,woman running: medium-dark skin tone,81.8
🏃🏿‍♀️,woman running: dark skin tone,86.15
🏃🏿‍♀,woman running: dark skin tone,86.15
💃,woman dancing,18.68
💃🏻,woman dancing: light skin tone,49.26
💃🏼,woman dancing: medium-light skin tone,49.26
💃🏽,woman dancing: medium skin tone,18.68
💃🏾,woman dancing: medium-dark skin tone,18.68
💃🏿,woman dancing: dark skin tone,54.59
🕺,man dancing,18.68
🕺🏻,man dancing: light skin tone,49.26
🕺🏼,man dancing: medium-light skin tone,49.26
🕺🏽,man dancing: medium skin tone,18.68
🕺🏾,man dancing: medium-dark skin tone,18.68
🕺🏿,man dancing: dark skin tone,54.59
🕴🏻,person in suit levitating: light skin tone,79.34
🕴🏼,person in suit levitating: medium-light skin tone,79.34
🕴🏽,person in suit levitating: medium skin tone,78.82
🕴🏾,person in suit levitating: medium-dark skin tone,78.82
🕴🏿,person in suit levitating: dark skin tone,84.66
👯,people with bunny ears,11.46
👯‍♀️,women with bunny ears,11.46
👯‍♀,women with bunny ears,11.46
🧖,person in steamy room,47.03
🧖🏻,person in steamy room: light skin tone,47.03
🧖🏼,person in steamy room: medium-light skin tone,63.44
🧖🏽,person in steamy room: medium skin tone,47.03
🧖🏾,person in steamy room: medium-dark skin tone,47.03
🧖🏿,person in steamy room: dark skin tone,47.03
🧖‍♂️,man in steamy room,47.03
🧖‍♂,man in steamy room,47.03
🧖🏻‍♂️,man in steamy room: light skin tone,47.03
🧖🏻‍♂,man in steamy room: light skin tone,47.03
🧖🏼‍♂️,man in steamy room: medium-light skin tone,63.44
🧖🏼‍♂,man in steamy room: medium-light skin tone,63.44
🧖🏽‍♂️,man in steamy room: medium skin tone,47.03
🧖🏽‍♂,man in steamy room: medium skin tone,47.03
🧖🏾‍♂️,man in steamy room: medium-dark skin tone,47.03
🧖🏾‍♂,man in steamy room: medium-dark skin tone,47.03
🧖🏿‍♂️,man in steamy room: dark skin tone,47.03
🧖🏿‍♂,man in steamy room: dark skin tone,47.03
🧖‍♀️,woman in steamy room,47.03
🧖‍♀,woman in steamy room,47.03
🧖🏻‍♀️,woman in steamy room: light skin tone,47.03
🧖🏻‍♀,woman in steamy room: light skin tone,47.03
🧖🏼‍♀️,woman in steamy room: medium-light skin tone,63.44
🧖🏼‍♀,woman in steamy room: medium-light skin tone,63.44
🧖🏽‍♀️,woman in steamy room: medium skin tone,47.03
🧖🏽‍♀,woman in steamy room: medium skin tone,47.03
🧖🏾‍♀️,woman in steamy room: medium-dark skin tone,47.03
🧖🏾‍♀,woman in steamy room: medium-dark skin tone,47.03
🧖🏿‍♀️,woman in steamy room: dark skin tone,47.03
🧖🏿‍♀,woman in steamy room: dark skin tone,47.03
🧗,person climbing,20.33
🧗🏻,person climbing: light skin tone,50.09
🧗🏼,person climbing: medium-light skin tone,50.09
🧗🏽,person climbing: medium skin tone,20.33
🧗🏾,person climbing: medium-dark skin tone,20.33
🧗🏿,person climbing: dark skin tone,55.42
🧗‍♂️,man climbing,20.33
🧗‍♂,man climbing,20.33
🧗🏻‍♂️,man climbing: light skin tone,50.09
🧗🏻‍♂,man climbing: light skin tone,50.09
🧗🏼‍♂️,man climbing: medium-light skin tone,50.09
🧗🏼‍♂,man climbing: medium-light skin tone,50.09
🧗🏽‍♂️,man climbing: medium skin tone,20.33
🧗🏽‍♂,man climbing: medium skin tone,20.33
🧗🏾‍♂️,man climbing: medium-dark skin tone,20.33
🧗🏾‍♂,man climbing: medium-dark skin tone,20.33
🧗🏿‍♂️,man climbing: dark skin tone,55.42
🧗🏿‍♂,man climbing: dark skin tone,55.42
🧗‍♀️,woman climbing,20.33
🧗‍♀,woman climbing,20.33
🧗🏻‍♀️,woman climbing: light skin tone,50.09
🧗🏻‍♀,woman climbing: light skin tone,50.09
🧗🏼‍♀️,woman climbing: medium-light skin tone,50.09
🧗🏼‍♀,woman climbing: medium-light skin tone,50.09
🧗🏽‍♀️,woman climbing: medium skin tone,20.33
🧗🏽‍♀,woman climbing: medium skin tone,20.33
🧗🏾‍♀️,woman climbing: medium-dark skin tone,20.33
🧗🏾‍♀,woman climbing: medium-dark skin tone,20.33
🧗🏿‍♀️,woman climbing: dark skin tone,55.42
🧗🏿‍♀,woman climbing: dark skin tone,55.42
🤺,person fencing,2.08
🏇🏻,horse racing: light skin tone,41.11
🏇🏼,horse racing: medium-light skin tone,41.11
🏇🏽,horse racing: medium skin tone,2.37
🏇🏾,horse racing: medium-dark skin tone,2.37
🏇🏿,horse racing: dark skin tone,46.43
🏂🏼,snowboarder: medium-light skin tone,79.85
🏌️,person golfing,2.8
🏌,person golfing,2.8
🏌🏻,person golfing: light skin tone,41.33
🏌🏼,person golfing: medium-light skin tone,41.33
🏌🏽,person golfing: medium skin tone,2.8
🏌🏾,person golfing: medium-dark skin tone,2.8
🏌🏿,person golfing: dark skin tone,46.65
🏌️‍♂️,man golfing,2.8
🏌‍♂️,man golfing,2.8
🏌️‍♂,man golfing,2.8
🏌‍♂,man golfing,2.8
🏌🏻‍♂️,man golfing: light skin tone,41.33
🏌🏻‍♂,man golfing: light skin tone,41.33
🏌🏼‍♂️,man golfing: medium-light skin tone,41.33
🏌🏼‍♂,man golfing: medium-light skin tone,41.33
🏌🏽‍♂️,man golfing: medium skin tone,2.8
🏌🏽‍♂,man golfing: medium skin tone,2.8
🏌🏾‍♂️,man golfing: medium-dark skin tone,2.8
🏌🏾‍♂,man golfing: medium-dark skin tone,2.8
🏌🏿‍♂️,man golfing: dark skin tone,46.65
🏌🏿‍♂,man golfing: dark skin tone,46.65
🏌️‍♀️,woman golfing,2.8
🏌‍♀️,woman golfing,2.8
🏌️‍♀,woman golfing,2.8
🏌‍♀,woman golfing,2.8
🏌🏻‍♀️,woman golfing: light skin tone,41.33
🏌🏻‍♀,woman golfing: light skin tone,41.33
🏌🏼‍♀️,woman golfing: medium-light skin tone,41.33
🏌🏼‍♀,woman golfing: medium-light skin tone,41.33
🏌🏽‍♀️,woman golfing: medium skin tone,2.8
🏌🏽‍♀,woman golfing: medium skin tone,2.8
🏌🏾‍♀️,woman golfing: medium-dark skin tone,2.8
