emoji,emoji_name,love_score
👏🏼,clapping hands: medium-light skin tone,51.04
👏🏽,clapping hands: medium skin tone,36.63
👏🏾,clapping hands: medium-dark skin tone,54.58
👏🏿,clapping hands: dark skin tone,76.86
🙌,raising hands,70.65
🙌🏻,raising hands: light skin tone,75.25
🙌🏼,raising hands: medium-light skin tone,53.51
🙌🏽,raising hands: medium skin tone,40.34
🙌🏾,raising hands: medium-dark skin tone,57.06
🙌🏿,raising hands: dark skin tone,80.57
🫶🏻,heart hands: light skin tone,69.95
🫶🏼,heart hands: medium-light skin tone,49.97
🫶🏽,heart hands: medium skin tone,35.04
🫶🏾,heart hands: medium-dark skin tone,35.04
🫶🏿,heart hands: dark skin tone,75.27
👐,open hands,56.25
👐🏻,open hands: light skin tone,68.05
👐🏼,open hands: medium-light skin tone,68.05
👐🏽,open hands: medium skin tone,56.25
👐🏾,open hands: medium-dark skin tone,56.25
👐🏿,open hands: dark skin tone,73.37
🤲,palms up together,89.66
🤲🏻,palms up together: light skin tone,84.76
🤲🏼,palms up together: medium-light skin tone,84.76
🤲🏽,palms up together: medium skin tone,89.66
🤲🏾,palms up together: medium-dark skin tone,89.66
🤲🏿,palms up together: dark skin tone,90.08
🤝🏻,handshake: light skin tone,79.85
🤝🏼,handshake: medium-light skin tone,79.85
🤝🏾,handshake: medium-dark skin tone,41.04
🫱🏻‍🫲🏼,"handshake: light skin tone, medium-light skin tone",79.85
🫱🏻‍🫲🏽,"handshake: light skin tone, medium skin tone",79.85
🫱🏻‍🫲🏾,"handshake: light skin tone, medium-dark skin tone",79.85
🫱🏻‍🫲🏿,"handshake: light skin tone, dark skin tone",79.85
🫱🏼‍🫲🏻,"handshake: medium-light skin tone, light skin tone",79.85
🫱🏼‍🫲🏽,"handshake: medium-light skin tone, medium skin tone",79.85
🫱🏼‍🫲🏾,"handshake: medium-light skin tone, medium-dark skin tone",79.85
🫱🏼‍🫲🏿,"handshake: medium-light skin tone, dark skin tone",79.85
🫱🏽‍🫲🏻,"handshake: medium skin tone, light skin tone",79.85
🫱🏽‍🫲🏼,"handshake: medium skin tone, medium-light skin tone",79.85
🫱🏾‍🫲🏻,"handshake: medium-dark skin tone, light skin tone",41.04
🫱🏾‍🫲🏼,"handshake: medium-dark skin tone, medium-light skin tone",60.44
🫱🏾‍🫲🏽,"handshake: medium-dark skin tone, medium skin tone",41.04
🫱🏾‍🫲🏿,"handshake: medium-dark skin tone, dark skin tone",41.04
🫱🏿‍🫲🏼,"handshake: dark skin tone, medium-light skin tone",79.85
🙏,folded hands,8.57
🙏🏻,folded hands: light skin tone,42.59
🙏🏼,folded hands: medium-light skin tone,32.82
🙏🏽,folded hands: medium skin tone,9.3
🙏🏾,folded hands: medium-dark skin tone,36.36
🙏🏿,folded hands: dark skin tone,49.53
✍️,writing hand,94.08
✍,writing hand,94.08
✍🏻,writing hand: light skin tone,86.97
✍🏼,writing hand: medium-light skin tone,94.08
✍🏽,writing hand: medium skin tone,94.08
✍🏾,writing hand: medium-dark skin tone,94.08
✍🏿,writing hand: dark skin tone,94.08
💅,nail polish,13.5
💅🏻,nail polish: light skin tone,9.31
💅🏼,nail polish: medium-light skin tone,32.82
💅🏽,nail polish: medium skin tone,9.31
💅🏾,nail polish: medium-dark skin tone,9.31
💅🏿,nail polish: dark skin tone,9.31
🤳🏻,selfie: light skin tone,79.85
🤳🏼,selfie: medium-light skin tone,79.85
💪,flexed biceps,13.59
💪🏻,flexed biceps: light skin tone,46.72
💪🏼,flexed biceps: medium-light skin tone,46.72
💪🏽,flexed biceps: medium skin tone,21.51
💪🏾,flexed biceps: medium-dark skin tone,13.59
💪🏿,flexed biceps: dark skin tone,52.04
🦾,mechanical arm,8.46
🦿,mechanical leg,8.46
🦵🏻,leg: light skin tone,79.85
🦵🏼,leg: medium-light skin tone,41.16
🦵🏾,leg: medium-dark skin tone,2.47
🦶🏻,foot: light skin tone,79.85
🦶🏼,foot: medium-light skin tone,79.85
👂🏻,ear: light skin tone,59.04
👂🏼,ear: medium-light skin tone,59.04
👂🏽,ear: medium skin tone,38.23
👂🏾,ear: medium-dark skin tone,38.23
👂🏿,ear: dark skin tone,38.23
🦻🏻,ear with hearing aid: light skin tone,86.16
🦻🏼,ear with hearing aid: medium-light skin tone,83.0
🦻🏽,ear with hearing aid: medium skin tone,86.16
🦻🏾,ear with hearing aid: medium-dark skin tone,88.33
🦻🏿,ear with hearing aid: dark skin tone,86.16
👃,nose,29.31
👃🏻,nose: light skin tone,54.58
👃🏼,nose: medium-light skin tone,54.58
👃🏽,nose: medium skin tone,29.31
👃🏾,nose: medium-dark skin tone,29.31
👃🏿,nose: dark skin tone,59.9
🫀,anatomical heart,6.21
🫦,biting lip,18.09
👶🏻,baby: light skin tone,54.64
👶🏼,baby: medium-light skin tone,79.85
🧒🏻,child: light skin tone,79.85
🧒🏼,child: medium-light skin tone,47.74
🧒🏾,child: medium-dark skin tone,90.5
👦🏻,boy: light skin tone,79.85
👦🏼,boy: medium-light skin tone,44.21
👦🏾,boy: medium-dark skin tone,8.57
👧🏻,girl: light skin tone,79.85
👧🏼,girl: medium-light skin tone,48.86
👧🏾,girl: medium-dark skin tone,17.87
🧑🏻,person: light skin tone,79.85
🧑🏿,person: dark skin tone,90.5
👱🏻,"person: light skin tone, blond hair",79.85
👱🏿,"person: dark skin tone, blond hair",90.5
👨🏻,man: light skin tone,54.64
👨🏼,man: medium-light skin tone,79.85
👨🏽,man: medium skin tone,29.43
👨🏾,man: medium-dark skin tone,90.5
👨🏿,man: dark skin tone,29.43
🧔🏻,"person: light skin tone, beard",79.85
🧔🏿,"person: dark skin tone, beard",90.5
🧔🏻‍♂️,"man: light skin tone, beard",79.85
🧔🏻‍♂,"man: light skin tone, beard",79.85
🧔🏼‍♂️,"man: medium-light skin tone, beard",79.85
🧔🏼‍♂,"man: medium-light skin tone, beard",79.85
🧔🏽‍♂️,"man: medium skin tone, beard",29.43
🧔🏽‍♂,"man: medium skin tone, beard",29.43
🧔🏾‍♂️,"man: medium-dark skin tone, beard",90.5
🧔🏾‍♂,"man: medium-dark skin tone, beard",90.5
🧔🏻‍♀️,"woman: light skin tone, beard",54.64
🧔🏻‍♀,"woman: light skin tone, beard",54.64
🧔🏼‍♀️,"woman: medium-light skin tone, beard",79.85
🧔🏼‍♀,"woman: medium-light skin tone, beard",79.85
🧔🏿‍♀️,"woman: dark skin tone, beard",29.43
🧔🏿‍♀,"woman: dark skin tone, beard",29.43
👨‍🦰,man: red hair,67.19
👨🏻‍🦰,"man: light skin tone, red hair",73.52
👨🏼‍🦰,"man: medium-light skin tone, red hair",73.52
👨🏽‍🦰,"man: medium skin tone, red hair",48.31
👨🏾‍🦰,"man: medium-dark skin tone, red hair",78.84
👨🏿‍🦰,"man: dark skin tone, red hair",67.19
👨‍🦱,man: curly hair,9.48
👨🏻‍🦱,"man: light skin tone, curly hair",44.67
👨🏼‍🦱,"man: medium-light skin tone, curly hair",44.67
👨🏽‍🦱,"man: medium skin tone, curly hair",19.46
👨🏾‍🦱,"man: medium-dark skin tone, curly hair",49.99
👨🏿‍🦱,"man: dark skin tone, curly hair",9.48
👨‍🦳,man: white hair,47.68
👨🏻‍🦳,"man: light skin tone, white hair",63.77
👨🏼‍🦳,"man: medium-light skin tone, white hair",63.77
👨🏽‍🦳,"man: medium skin tone, white hair",38.55
👨🏾‍🦳,"man: medium-dark skin tone, white hair",69.09
👨🏿‍🦳,"man: dark skin tone, white hair",47.68
👨🏻‍🦲,"man: light skin tone, bald",79.85
👨🏼‍🦲,"man: medium-light skin tone, bald",79.85
👨🏽‍🦲,"man: medium skin tone, bald",29.43
👨🏾‍🦲,"man: medium-dark skin tone, bald",90.5
👩🏻,woman: light skin tone,54.64
👩🏼,woman: medium-light skin tone,79.85
👩‍🦰,woman: red hair,67.19
👩🏻‍🦰,"woman: light skin tone, red hair",58.82
👩🏼‍🦰,"woman: medium-light skin tone, red hair",73.52
👩🏽‍🦰,"woman: medium skin tone, red hair",67.19
👩🏾‍🦰,"woman: medium-dark skin tone, red hair",67.19
👩🏿‍🦰,"woman: dark skin tone, red hair",67.19
🧑‍🦰,person: red hair,67.19
🧑🏻‍🦰,"person: light skin tone, red hair",73.52
🧑🏼‍🦰,"person: medium-light skin tone, red hair",67.19
🧑🏽‍🦰,"person: medium skin tone, red hair",67.19
